Threshold,Homogenity,Completeness,V-Measure,Mutual Info,Adj. Mut. Inf,,Shill,HOM std,COM std,VME std,MI std,AMI std,Shill std
0.1,0.999871341509377,0.672581727409076,0.804191921551345,2.35571875171662,0.631514406267785,1.43570632781913,0.814423504321006,0.000136699827389,0.004866636287116,0.003457204093669,0.013320697981559,0.005377570544112,0.002965113995613
0.6,0.999857035588788,0.692053101358727,0.817947179795819,2.35603409800609,0.658064435445769,1.47601161524159,0.814366421508489,0.000165007437299,0.004636956225153,0.003227023231606,0.010145203705397,0.005215278549489,0.002027261523538
1.1,0.999455640234162,0.697688298476356,0.821733034229408,2.35473976031348,0.665611376176183,1.48734441040559,0.814423504321006,0.000386374073913,0.004923709495078,0.003345555940819,0.013412647622888,0.005632557540859,0.002965113995613
1.6,0.999557660490843,0.698089637173865,0.822044366844972,2.35532849210505,0.666173855313845,1.48821822215882,0.814366421508489,0.000236357901605,0.005413667333781,0.003767007325796,0.010110223653941,0.006369858510119,0.002027261523538
2.1,0.999150552351759,0.707734327488865,0.828551406855772,2.35402082099343,0.67807679477141,1.50662820162718,0.814423504321006,0.000354951828938,0.005870698112596,0.003974215518774,0.013379026612177,0.006708333832209,0.002965113995613
2.6,0.999214701766341,0.713340716468345,0.832407495334132,2.35452120847247,0.684705714833404,1.51711321016754,0.814366421508489,0.000329819267586,0.004943835465539,0.003345972783167,0.010317345101287,0.005479846859536,0.002027261523538
3.1,0.998340008830321,0.72428725507792,0.839506241682703,2.35211373419299,0.69771167384838,1.53721791553108,0.814423504321006,0.000925344288542,0.004220708652085,0.002729857002075,0.01395998688765,0.004873602077342,0.002965113995613
3.6,0.999032226076599,0.722656529827567,0.8386474109279,2.35409111962513,0.696064768208504,1.5347121791364,0.814366421508489,0.000351428682893,0.005919793339227,0.003923523109101,0.01029544960695,0.006283244949242,0.002027261523538
4.1,0.998206746430552,0.73249118710249,0.844943067794347,2.35179978414072,0.707612145711571,1.55255521350592,0.814423504321006,0.000929047759598,0.004148128375174,0.002561222414184,0.013960647659116,0.004721493828793,0.002965113995613
4.6,0.998562665055358,0.734078394053981,0.846125144774831,2.35298269233385,0.709562001809062,1.55568714658389,0.814366421508489,0.000412069960097,0.00459844715129,0.002953810016139,0.009845281362004,0.005272211841443,0.002027261523538
5.1,0.99729860221804,0.745754426253785,0.853364140600075,2.34966134757078,0.723201765864098,1.57656590646417,0.814423504321006,0.001011074577158,0.005569224497428,0.003654117689733,0.014173437752287,0.006120322597937,0.002965113995613
5.6,0.996951593814613,0.759925265594262,0.862434181235522,2.34917614661445,0.738875249507953,1.60130943074348,0.814366421508489,0.002221939589122,0.005697175732481,0.003501568855321,0.008651504781962,0.006359693866283,0.002027261523538
6.1,0.994595602115518,0.765420093343021,0.86505557370065,2.34328518150937,0.745528407772547,1.6105839814732,0.814423504321006,0.001327427442732,0.009424227680855,0.0061141491428,0.012951109058573,0.010511550772179,0.002965113995613
6.6,0.993866264910729,0.772346355677809,0.86919878946952,2.34191468064333,0.753351683093023,1.62255047256254,0.814366421508489,0.002333186859579,0.006003517950551,0.003676633552881,0.01087414148367,0.006435270512723,0.002027261523538
7.1,0.992761540135194,0.783253232458074,0.875630751159489,2.34533107852975,0.765532172854721,1.64116292401421,0.815657451639872,0.002691840966016,0.007183414695634,0.004652526676985,0.019510713576211,0.007495509174037,0.004326681148556
7.6,0.991187267237785,0.787875732345066,0.877885215387755,2.33786842527987,0.771033061179131,1.64891827656689,0.813720395765256,0.002432333196263,0.009848132440904,0.006590150222673,0.016993393259588,0.010689255470775,0.00621071996463
8.1,0.990860872613888,0.794772900660776,0.882008496440904,2.34084979224223,0.778661237381846,1.66066973382275,0.815657451639872,0.001853292269912,0.011192604057255,0.007019948006655,0.019976919389007,0.012137772679481,0.004326681148556
8.6,0.989280109967374,0.803281290306513,0.886582991141731,2.33335344818889,0.788288609200291,1.67487160034202,0.813720395765256,0.002928711379372,0.011553432938177,0.007036751435118,0.014996957661111,0.012580533451879,0.00621071996463
9.1,0.988869659976692,0.81295171560095,0.892308199285482,2.33615064255447,0.798917677891864,1.69122587717735,0.815657451639872,0.001833360140135,0.006091940496419,0.003557133291301,0.02050823022464,0.006150693323102,0.004326681148556
9.6,0.987513818428078,0.817290749323409,0.894343190933823,2.32919628528773,0.804060537186783,1.69840372812061,0.813720395765256,0.002806869937176,0.009316723931475,0.005605356535262,0.016184441558637,0.01006408312007,0.00621071996463
10.1,0.98839533582259,0.828727137376532,0.90151435107863,2.33500414719747,0.816422845599205,1.71793719667784,0.815657451639872,0.003127109208835,0.008809781280029,0.004997298116448,0.018298783428872,0.009272993050795,0.004326681148556
10.6,0.986488893795098,0.833488876046728,0.903542981944157,2.32682960351156,0.821830889582401,1.72537387152656,0.813720395765256,0.002331555470301,0.006344545552726,0.003799818731329,0.022010428193514,0.006901638002243,0.00621071996463
11.1,0.984431532423243,0.841840870453271,0.907546095555974,2.32564949438715,0.831049581776714,1.73859567733269,0.815657451639872,0.001927726139144,0.008690009666836,0.0052386836267,0.018529155213991,0.009098702513444,0.004326681148556
11.6,0.980515637748714,0.843639818350182,0.906914365392927,2.31273765271999,0.833097406723327,1.74001177211625,0.813720395765256,0.011845419559296,0.008324760901495,0.008576267814774,0.034808201953913,0.009072274855898,0.00621071996463
12.1,0.983871661258786,0.845183676684438,0.909231238911051,2.32433794661202,0.834831366531951,1.744062605443,0.815657451639872,0.003061588217041,0.010192726008411,0.00583629268625,0.020663797088073,0.010703568670739,0.004326681148556
12.6,0.973178758119678,0.852243713973216,0.908660134131995,2.29531881431852,0.842630729432939,1.75129086356493,0.813720395765256,0.015416565684816,0.009602641281952,0.010604113423821,0.035197422410762,0.010355164432606,0.00621071996463
13.1,0.970788253110929,0.865723066824279,0.915198125845197,2.29330763132512,0.857055878726719,1.77225400457192,0.815657451639872,0.014575241694459,0.008742452168419,0.009379835147265,0.031715097580151,0.009185954953329,0.004326681148556
13.6,0.966191905961238,0.86076068361425,0.91034716727349,2.27878551178614,0.851963963210223,1.76231113048371,0.813720395765256,0.018209291923769,0.009433446801885,0.010645483510199,0.038908753649849,0.010110266950335,0.00621071996463
14.1,0.972426660793339,0.875323022115795,0.921144243740706,2.29846077168088,0.867490493893498,1.7886347376342,0.814301688282672,0.010704562536814,0.018416129262689,0.009105670821826,0.034982357067037,0.019694371456663,0.003066538424192
14.6,0.972578895669006,0.896130675500427,0.932761007313183,2.29738488423304,0.889867482349048,1.82262848966223,0.814961296196268,0.003892980966166,0.008738947087563,0.004692230959027,0.015805690910215,0.009276198030653,0.003991869711653
15.1,0.961079069801102,0.891307161571397,0.924742687568789,2.27181925390028,0.884786553555739,1.80952924112453,0.814301688282672,0.020192015323584,0.012527985465414,0.012134335015808,0.06042853876631,0.013255050134208,0.003066538424192
15.6,0.965744106979449,0.904523121839785,0.934080580904489,2.28129265178983,0.89893332605917,1.83301390696366,0.814961296196268,0.013536907030848,0.008326626559552,0.008673429726373,0.037654269722887,0.00889180215761,0.003991869711653
16.1,0.955944810747086,0.897735062895285,0.925742373392155,2.25967272585711,0.891794415895008,1.81753678928716,0.814301688282672,0.019413812174104,0.016364589379038,0.012433983968735,0.058503732899229,0.017295327096757,0.003066538424192
16.6,0.963347909090872,0.906140722191565,0.933788577870913,2.27564337653657,0.900730073515159,1.83451865138607,0.814961296196268,0.014775211968941,0.009323118215775,0.0086685652215,0.040753048932153,0.009933170612753,0.003991869711653
17.1,0.95302988238405,0.901691843471315,0.926504829393454,2.25276362076635,0.896086437339956,1.82259126673341,0.814301688282672,0.017841028073707,0.013198294948296,0.010523917415661,0.054783416983534,0.013919789518665,0.003066538424192
17.6,0.954305971228802,0.907238344829562,0.930126424805219,2.25432483238648,0.902081237338723,1.83220766214394,0.814961296196268,0.016874965072771,0.007380940853207,0.010757548399811,0.046924125572306,0.00781632057429,0.003991869711653
18.1,0.940476256259097,0.905639678975575,0.922580559660721,2.22308440988593,0.900482739679139,1.82306329933986,0.814301688282672,0.020593541769689,0.015447917342159,0.013975293003041,0.059470680901196,0.016245925614349,0.003066538424192
18.6,0.938385939892842,0.906492876862512,0.922015122388008,2.21676918435867,0.901378937726695,1.8233940601147,0.814961296196268,0.019832313167545,0.012431012630607,0.011588724108985,0.054901637121517,0.013254711728998,0.003991869711653
19.1,0.931811267772872,0.903053416593941,0.917033780675859,2.2025865757988,0.897863058606468,1.81489683928233,0.814301688282672,0.019993465655133,0.019909600720668,0.015573024755822,0.057837391108808,0.020953985254534,0.003066538424192
19.6,0.925828338721849,0.906258067511275,0.915804000729388,2.18708746036285,0.899813927173772,1.81561792790316,0.814961296196268,0.020093065887795,0.013374812740108,0.012908958236446,0.054599475521846,0.014869568340235,0.003991869711653
